ID,Year,Edition,Expansion,Number,Team,Name,Points,Icons,Position1,Position2,Hand,OnBase,Out_H,HR_H,Speed,Control,Out_P,HR_P,IP,PU,SO,GB,FB,BB,Single,SinglePlus,Double,Triple,HR,Def_C,Def_1B,Def_2B,Def_SS,Def_3B,Def_LFRF,Def_CF,Icon_R,Icon_RY,Icon_G,Icon_S,Icon_SB,Icon_HR,Icon_V,Icon_20,Icon_CY,Icon_K
14,'04,UL,TD,1,Pirates,Jose Mesa,10,,Closer,,R,NA,NA,NA,NA,1,16,26,1,'1-3,'4-8,'9-14,'15-16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
15,'04,P,Base,1,Reds,Barry Larkin,10,,SS+2,,R,10,7,21,9,NA,NA,NA,NA,','1,'2-5,'6-7,'8-10,'11-18,','19-20,','21+,NA,NA,NA,2,NA,NA,NA,,,,,,,,,,
16,'04,UL,PR,1,Rockies,Shawn Chacon,10,,Closer,,R,NA,NA,NA,NA,1,16,23,1,'1-4,'5-10,'11-14,'15-16,','17,','18-22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
17,'05,UL,Base,1,Angels,Garret Anderson,210,,CF+1,,L,11,7,20,12,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-9,'10-17,','18-19,','20+,NA,NA,NA,NA,NA,NA,1,,,,,,,,,,
18,'05,P,Base,1,Angels,Scot Shields,240,,Reliever,,R,NA,NA,NA,NA,4,16,27,2,'1,'2-6,'7-13,'14-16,'17,'18-19,','20-26,','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
19,'05,UL,TD,1,Angels,Steve Finley,320,,CF+0,,L,9,5,19,12,NA,NA,NA,NA,','1,'2-3,'4-5,'6-9,'10-16,','17-18,','19+,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,
20,'00,1st,Base,2,Angels,Tim Belcher,110,,Starter,,R,NA,NA,NA,NA,0,18,NA,6,'3-5,'1-2,'6-12,'13-18,','19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
21,'00,1st,PR,2,Angels,Ken Hill,170,,Starter,,R,NA,NA,NA,NA,0,18,NA,6,'5-6,'1-4,'7-13,'14-18,'19,'20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
22,'01,1st,Base,2,Angels,Darin Erstad,510,,LF-RF+2,,L,10,4,19,20,NA,NA,NA,NA,',','1-3,'4,'5-6,'7-15,'16,'17-18,','19-20,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
23,'01,1st,PR,2,Cardinals,Dustin Hermanson,190,,Starter,,R,NA,NA,NA,NA,1,17,NA,6,'1-3,'4-5,'6-12,'13-17,'18,'19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
24,'01,UL,Base,2,Angels,Darin Erstad,510,,LF-RF+2,,L,10,4,19,20,NA,NA,NA,NA,',','1-3,'4,'5-6,'7-15,'16,'17-18,','19-20,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
25,'02,UL,Base,2,Angels,David Eckstein,160,,SS+3,,R,11,7,26,18,NA,NA,NA,NA,',','1-6,'7,'8-11,'12-18,'19,'20-25,','26+,NA,NA,NA,3,NA,NA,NA,,,,,,,,,,
26,'02,UL,TD,2,Orioles,Chris Singleton,190,,OF+2,,L,10,7,22,19,NA,NA,NA,NA,','1,'2-4,'5-7,'8,'9-16,'17,'18-19,'20-21,'22+,NA,NA,NA,NA,NA,2,2,,,,,,,,,,
27,'02,UL,PR,2,Giants,Robb Nen,250,,Closer,,R,NA,NA,NA,NA,4,18,26,1,'1-3,'4-10,'11-15,'16-18,','19-25,',',','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
28,'02,ASG,ASG,2,Orioles,Tony Batista,310,,3B+1,,R,10,6,18,17,NA,NA,NA,NA,','1-3,'4,'5-6,'7-8,'9-14,','15-17,','18+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
29,'03,UL,Base,2,Angels,David Eckstein,280,,SS+1,,R,11,6,20,16,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-17,'18,'19,','20+,NA,NA,NA,1,NA,NA,NA,,,,,,,,,,
30,'03,P,Base,2,Pirates,Abraham Nunez,90,,SS+5,,S,9,7,22,16,NA,NA,NA,NA,','1,'2-5,'6-7,'8-11,'12-18,','19-21,','22+,NA,NA,NA,5,NA,NA,NA,,,,,,,,,,
31,'03,UL,TD,2,Rangers,Ryan Drese,10,R,Starter,,R,NA,NA,NA,NA,1,16,24,5,'1-2,'3-6,'7-12,'13-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,,,
32,'03,UL,PR,2,Tigers,Jeremy Bonderman,10,R,Starter,,R,NA,NA,NA,NA,1,16,23,5,'1,'2-6,'7-13,'14-16,'17,'18-19,','20-22,','23+,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,,,
33,'04,UL,Base,2,Angels,David Eckstein,40,,SS+2,,R,9,6,21,15,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-17,'18,'19-20,','21+,NA,NA,NA,2,NA,NA,NA,,,,,,,,,,
34,'04,UL,TD,2,Red Sox,Pokey Reese,10,,2B+5,,R,9,8,21,14,NA,NA,NA,NA,','1-3,'4-5,'6-8,'9-12,'13-19,','20,','21+,NA,NA,5,NA,NA,NA,NA,,,,,,,,,,
35,'04,P,Base,2,Athletics,Barry Zito,530,,Starter,,L,NA,NA,NA,NA,4,17,26,7,'1-2,'3-6,'7-12,'13-17,'18,'19-22,','23-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
36,'04,UL,PR,2,Athletics,Bobby Crosby,10,R,SS+3,,R,9,9,19,13,NA,NA,NA,NA,','1-4,'5-6,'7-9,'10-12,'13-17,','18,','19+,NA,NA,NA,3,NA,NA,NA,1,,,,,,,,,
37,'05,UL,Base,2,Angels,David Eckstein,90,,SS+1,,R,10,6,21,15,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-17,'18,'19-20,','21+,NA,NA,NA,1,NA,NA,NA,,,,,,,,,,
38,'05,P,Base,2,Braves,Mark Derosa,10,,3B+0,,R,9,6,21,9,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-17,','18-20,','21+,NA,NA,NA,NA,0,NA,NA,,,,,,,,,,
39,'05,UL,TD,2,Devil Rays,Josh Phelps,110,,1B+0,,R,9,7,19,10,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-10,'11-16,','17-18,','19+,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
40,'00,1st,Base,3,Angels,Gary DiSarcina,40,,SS+4,,R,5,2,NA,15,NA,NA,NA,NA,',','1,'2,'3,'4-20,',',',',NA,NA,NA,4,NA,NA,NA,,,,,,,,,,
41,'00,1st,PR,3,Angels,Adam Kennedy,260,,2B+2,,L,7,4,19,20,NA,NA,NA,NA,',','1,'2-4,'5,'6-12,'13,'14-17,'18,'19-20,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
42,'01,1st,Base,3,Angels,Ron Gant,270,,LF-RF+1,,R,8,5,17,15,NA,NA,NA,NA,','1-3,'4,'5,'6-11,'12-15,','16,','17-20,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
43,'01,1st,PR,3,Mariners,Jamie Moyer,320,,Starter,,L,NA,NA,NA,NA,2,17,NA,6,'1-3,'4-7,'8-14,'15-17,','18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
44,'02,UL,Base,3,Angels,Darin Erstad,160,,CF+3,LF-RF+2,L,10,7,24,16,NA,NA,NA,NA,','1-2,'3-6,'7,'8-11,'12-17,'18,'19-23,','24+,NA,NA,NA,NA,NA,2,3,,,,,,,,,,
45,'02,UL,TD,3,Mariners,Ben Davis,130,,C+6,,S,10,6,20,11,NA,NA,NA,NA,','1-3,'4-5,'6,'7-12,'13-18,','19,','20+,6,NA,NA,NA,NA,NA,NA,,,,,,,,,,
46,'02,UL,PR,3,Blue Jays,Raul Mondesi,240,,LF-RF+1,,R,10,6,18,19,NA,NA,NA,NA,','1-3,'4,'5-6,'7-12,'13-16,','17,','18+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
47,'02,ASG,ASG,3,White Sox,Mark Buehrle,510,,Starter,,L,NA,NA,NA,NA,3,18,24,7,'1-4,'5-8,'9-15,'16-18,'19,'20-23,',',','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
48,'03,UL,Base,3,Angels,Darin Erstad,280,G,CF+3,,L,10,6,20,16,NA,NA,NA,NA,','1,'2-4,'5-6,'7-8,'9-16,'17,'18-19,','20+,NA,NA,NA,NA,NA,NA,3,,,1,,,,,,,
49,'03,P,Base,3,Angels,Al Levine,20,,Reliever,,R,NA,NA,NA,NA,2,15,20,1,'1-4,','5-13,'14-15,'16-17,'18,','19,','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
50,'03,UL,TD,3,Braves,Mike Hampton,10,,Starter,,L,NA,NA,NA,NA,1,15,23,6,'1-3,'4-5,'6-13,'14-15,'16,'17-19,','20-22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
51,'03,UL,PR,3,Royals,Carlos Febles,150,,2B+2,,R,9,5,23,20,NA,NA,NA,NA,','1,'2-4,'5,'6-7,'8-15,'16-18,'19-20,'21-22,'23+,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,
52,'04,UL,Base,3,Angels,Darin Erstad,60,,CF+3,,L,9,6,20,12,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-18,','19,','20+,NA,NA,NA,NA,NA,NA,3,,,,,,,,,,
53,'04,UL,TD,3,Devil Rays,Rey Sanchez,10,,SS+3,,R,9,7,21,16,NA,NA,NA,NA,','1,'2-5,'6-7,'8-9,'10-19,','20,','21+,NA,NA,NA,3,NA,NA,NA,,,,,,,,,,
54,'04,P,Base,3,Indians,C.C. Sabathia,270,,Starter,,L,NA,NA,NA,NA,3,15,25,7,'1-2,'3-6,'7-12,'13-15,'16-17,'18-19,','20-24,','25+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
55,'04,UL,PR,3,Braves,Russ Ortiz,360,,Starter,,R,NA,NA,NA,NA,4,16,26,7,'1-4,'5-9,'10-14,'15-16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
56,'05,UL,Base,3,Angels,Darin Erstad,170,G,1B+1,,L,10,6,20,15,NA,NA,NA,NA,','1,'2-4,'5-6,'7-9,'10-16,'17,'18-19,','20+,NA,1,NA,NA,NA,NA,NA,,,1,,,,,,,
57,'05,P,Base,3,Orioles,Larry Bigbie,280,,LF-RF+1,,L,10,6,19,12,NA,NA,NA,NA,','1-2,'3-5,'6,'7-9,'10-16,','17-18,','19+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
58,'05,UL,TD,3,Tigers,Magglio Ordonez,180,,LF-RF+2,,R,10,6,19,10,NA,NA,NA,NA,','1,'2-4,'5-6,'7-10,'11-17,','18,','19+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
59,'00,1st,Base,4,Angels,Darin Erstad,140,,LF-RF+2,1B+1,L,6,3,19,15,NA,NA,NA,NA,',','1-2,'3,'4-5,'6-15,'16,'17,'18,'19-20,NA,1,NA,NA,NA,2,NA,,,,,,,,,,
60,'00,1st,PR,4,Angels,Ben Molina,120,,C+8,,R,6,3,19,10,NA,NA,NA,NA,',','1-2,'3,'4-6,'6-15,','16-18,','19-20,8,NA,NA,NA,NA,NA,NA,,,,,,,,,,
61,'01,1st,Base,4,Angels,Troy Glaus,440,,3B+2,,R,9,3,17,15,NA,NA,NA,NA,','1-3,',','4-11,'12-13,'14,'15-16,','17-20,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
62,'01,1st,PR,4,Giants,Aaron Fultz,100,,Reliever,,L,NA,NA,NA,NA,3,16,NA,1,'1-3,'4-8,'9-14,'15-16,'17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
63,'01,UL,Base,4,Angels,Troy Glaus,440,,3B+2,,R,9,3,17,15,NA,NA,NA,NA,','1-3,',','4-11,'12-13,'14,'15-16,','17-20,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
64,'02,UL,Base,4,Angels,Troy Glaus,330,,3B+1,,R,11,6,18,14,NA,NA,NA,NA,','1-4,','5-6,'7-13,'14-15,','16-17,','18+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
65,'02,UL,TD,4,Giants,Tsuyoshi Shinjo,170,,OF+2,,R,9,6,20,13,NA,NA,NA,NA,','1-3,'4-5,'6,'7-9,'10-17,','18-19,','20+,NA,NA,NA,NA,NA,2,2,,,,,,,,,,
66,'02,UL,PR,4,Mets,Mike Piazza,200,,C+2,,R,10,7,18,9,NA,NA,NA,NA,','1-2,'3-4,'5-7,'8-9,'10-15,','16-17,','18+,2,NA,NA,NA,NA,NA,NA,,,,,,,,,,
67,'02,ASG,ASG,4,Red Sox,Johnny Damon,300,,CF+2,,L,11,7,25,20,NA,NA,NA,NA,','1,'2-5,'6-7,'8-10,'11-16,'17,'18-19,'20-24,'25+,NA,NA,NA,NA,NA,NA,2,,,,,,,,,,
68,'03,UL,Base,4,Angels,Brad Fullmer,280,,DH,,L,10,6,19,12,NA,NA,NA,NA,','1,'2-3,'4-6,'7-9,'10-14,'15,'16-18,','19+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
69,'03,P,Base,4,Pirates,Armando Rios,120,,LF-RF+2,,L,9,6,23,15,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-9,'10-18,','19-22,','23+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
70,'03,UL,TD,4,White Sox,Sandy Alomar Jr.,130,,C+3,,R,9,7,20,10,NA,NA,NA,NA,','1,'2-5,'6-7,'8,'9-17,','18-19,','20+,3,NA,NA,NA,NA,NA,NA,,,,,,,,,,
71,'03,UL,PR,4,Cubs,Tom Goodwin,40,,CF+0,,L,9,9,24,23,NA,NA,NA,NA,','1-3,'4-7,'8-9,'10,'11-16,'17-19,'20,'21-23,'24+,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,
72,'04,UL,Base,4,Angels,Troy Glaus,180,,3B+0,,R,10,6,19,12,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-16,','17-18,','19+,NA,NA,NA,NA,0,NA,NA,,,,,,,,,,
73,'04,UL,TD,4,Dodgers,Jeff Weaver,10,,Starter,,R,NA,NA,NA,NA,1,15,27,5,'1-2,'3-5,'6-14,'15,'16,'17-19,','20-26,','27+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
74,'04,P,Base,4,Blue Jays,Carlos Delgado,570,HR S,1B+1,,L,13,6,19,10,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-16,','17-18,','19+,NA,1,NA,NA,NA,NA,NA,,,,1,,1,,,,
75,'04,UL,PR,4,Cardinals,Jason Simontacchi,10,,Reliever,,R,NA,NA,NA,NA,1,13,20,1,'1-4,','5-11,'12-13,'14-15,'16-17,','18-19,','20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
76,'05,UL,Base,4,Angels,Chone Figgins,180,,IF+1,CF+1,S,10,5,20,21,NA,NA,NA,NA,','1,'2-3,'4-5,'6-8,'9-14,'15-17,'18,'19,'20+,NA,1,1,1,1,NA,1,,,,,,,,,,
77,'05,P,Base,4,Cubs,Greg Maddux,380,,Starter,,R,NA,NA,NA,NA,4,17,23,6,'1-2,'3-6,'7-14,'15-17,'18,'19-21,','22,','23+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
78,'05,UL,TD,4,Nationals,Nick Johnson,250,,1B+1,,L,11,6,19,11,NA,NA,NA,NA,','1-2,'3-5,'6,'7-11,'12-16,','17-18,','19+,NA,1,NA,NA,NA,NA,NA,,,,,,,,,,
79,'00,1st,Base,5,Angels,Chuck Finley,470,,Starter,,L,NA,NA,NA,NA,5,15,NA,6,'6-7,'1-5,'8-12,'13-15,'16-17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
80,'00,1st,PR,5,Angels,Scott Spiezio,210,,DH,,S,7,4,18,10,NA,NA,NA,NA,',',','1-4,'5-9,'10-11,','12-17,','18-20,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
81,'01,1st,Base,5,Angels,Shigetoshi Hasegawa,130,,Reliever,,R,NA,NA,NA,NA,2,17,NA,1,'1-3,'4-7,'8-13,'14-17,'18,'19-20,',',',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
82,'01,1st,PR,5,Athletics,Barry Zito,560,,Starter,,L,NA,NA,NA,NA,6,15,NA,7,'1-3,'4-7,'8-11,'12-15,'16-17,'18-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
83,'02,UL,Base,5,Angels,Adam Kennedy,130,,2B+3,,L,9,6,24,16,NA,NA,NA,NA,',','1,'2-6,'7-9,'10-17,'18,'19-23,','24+,NA,NA,3,NA,NA,NA,NA,,,,,,,,,,
84,'02,UL,TD,5,Dodgers,Brian Jordan,200,,LF-RF+2,,R,10,6,19,14,NA,NA,NA,NA,','1,'2-3,'4-6,'7-8,'9-16,','17-18,','19+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
85,'02,UL,PR,5,Phillies,Scott Rolen,350,,3B+3,,R,11,7,19,15,NA,NA,NA,NA,','1-4,'5,'6-7,'8-12,'13-15,'16,'17-18,','19+,NA,NA,NA,NA,3,NA,NA,,,,,,,,,,
86,'02,ASG,ASG,5,Tigers,Robert Fick,250,,C+6,,L,10,7,19,12,NA,NA,NA,NA,','1-2,'3,'4-7,'8-11,'12-16,','17-18,','19+,6,NA,NA,NA,NA,NA,NA,,,,,,,,,,
87,'03,UL,Base,5,Angels,Troy Glaus,270,,3B+1,,R,10,6,19,12,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-15,'16,'17-18,','19+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
88,'03,P,Base,5,Devil Rays,Aubrey Huff,260,,1B+1,3B+0,L,11,5,19,14,NA,NA,NA,NA,',','1-3,'4-5,'6-8,'9-16,','17-18,','19+,NA,1,NA,NA,0,NA,NA,,,,,,,,,,
89,'03,UL,TD,5,Tigers,Steve Sparks,10,,Starter,,R,NA,NA,NA,NA,1,16,21,6,'1,'2-4,'5-12,'13-16,'17,'18-19,','20,','21+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
90,'03,UL,PR,5,Twins,Luis Rivas,150,,2B+1,,R,9,7,21,18,NA,NA,NA,NA,','1,'2-5,'6-7,'8,'9-15,'16-17,'18-19,'20,'21+,NA,NA,1,NA,NA,NA,NA,,,,,,,,,,
91,'04,UL,Base,5,Angels,Bengie Molina,90,G,C+11,,R,9,8,20,9,NA,NA,NA,NA,','1,'2-4,'5-8,'9,'10-17,','18-19,','20+,11,NA,NA,NA,NA,NA,NA,,,1,,,,,,,
92,'04,UL,TD,5,Mets,Todd Zeile,10,,3B+2,,R,9,7,20,9,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-12,'13-18,','19,','20+,NA,NA,NA,NA,2,NA,NA,,,,,,,,,,
93,'04,P,Base,5,Red Sox,Derek Lowe,110,,Starter,,R,NA,NA,NA,NA,2,16,26,6,'1-2,'3-5,'6-15,'16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
94,'04,UL,PR,5,Diamondbacks,Oscar Villarreal,10,,Reliever,,R,NA,NA,NA,NA,1,15,24,1,'1,'2-7,'8-11,'12-15,'16-17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
95,'05,UL,Base,5,Angels,Troy Glaus,260,,3B+1,,R,10,6,18,10,NA,NA,NA,NA,','1-2,'3-4,'5-6,'7-11,'12-15,','16-17,','18+,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
96,'05,P,Base,5,White Sox,Aaron Rowand,530,,CF+1,,R,11,5,19,16,NA,NA,NA,NA,','1,'2-3,'4-5,'6-7,'8-13,'14-15,'16-18,','19+,NA,NA,NA,NA,NA,NA,1,,,,,,,,,,
97,'05,UL,TD,5,Brewers,Carlos Lee,460,,LF-RF+1,,R,11,6,19,13,NA,NA,NA,NA,','1,'2-3,'4-6,'7-9,'10-15,'16,'17-18,','19+,NA,NA,NA,NA,NA,1,NA,,,,,,,,,,
98,'00,1st,Base,6,Angels,Troy Glaus,240,,3B+1,,R,7,4,17,15,NA,NA,NA,NA,','1-2,','3-4,'5-11,'12-14,','15-16,','17-20,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
99,'00,FS,Base,6,Angels,Troy Glaus,240,,3B+1,,R,7,4,17,15,NA,NA,NA,NA,','1-2,','3-4,'5-11,'12-14,','15-16,','17-20,NA,NA,NA,NA,1,NA,NA,,,,,,,,,,
100,'00,1st,PR,6,Diamondbacks,Brian Anderson,420,,Starter,,L,NA,NA,NA,NA,5,15,NA,6,'4-5,'1-3,'6-10,'11-15,','16-19,','20,',',NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
101,'01,1st,Base,6,Angels,Adam Kennedy,110,,2b+3,,L,6,3,20,20,NA,NA,NA,NA,',','1,'2-3,','4-12,'13-14,'15-17,'18-19,'20+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
102,'01,1st,PR,6,Athletics,Adam Piatt,170,,LF-RF+0,,R,8,5,19,15,NA,NA,NA,NA,','1-4,','5,'6-10,'11-17,',','18,'19-20,NA,NA,NA,NA,NA,0,NA,,,,,,,,,,
103,'02,UL,Base,6,Angels,Ben Molina,30,,C+7,,R,9,7,22,10,NA,NA,NA,NA,','1,'2-4,'5-7,'8-9,'10-19,','20-21,','22+,7,NA,NA,NA,NA,NA,NA,,,,,,,,,,
104,'02,UL,TD,6,Red Sox,Tony Clark,230,,1B+0,,S,11,6,20,12,NA,NA,NA,NA,','1-3,'4-6,','7-9,'10-16,','17-19,','20+,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,
105,'02,UL,PR,6,Mariners,Shigetoshi Hasegawa,140,,Reliever,,R,NA,NA,NA,NA,5,16,26,1,'1-3,'4-7,'8-12,'13-16,'17,'18-19,','20-25,','26+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
106,'02,ASG,ASG,6,Mariners,Freddy Garcia,590,,Starter,,R,NA,NA,NA,NA,4,18,24,7,'1-3,'4-9,'10-14,'15-18,','19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
107,'03,UL,Base,6,Angels,Adam Kennedy,520,,2B+3,,L,12,5,21,14,NA,NA,NA,NA,','1,'2-3,'4-5,'6-7,'8-15,'16,'17-19,'20,'21+,NA,NA,3,NA,NA,NA,NA,,,,,,,,,,
108,'03,P,Base,6,Royals,Brandon Berger,30,,LF-RF+2,,R,8,8,19,11,NA,NA,NA,NA,','1-2,'3-5,'6-8,'9-11,'12-16,','17-18,','19+,NA,NA,NA,NA,NA,2,NA,,,,,,,,,,
109,'03,UL,TD,6,Rangers,Chan Ho Park,20,,Starter,,R,NA,NA,NA,NA,1,15,24,6,'1-3,'4-7,'8-13,'14-15,'16-17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
110,'03,UL,PR,6,Reds,Scott Sullivan,150,,Reliever,,R,NA,NA,NA,NA,4,16,21,1,'1-2,'3-7,'8-11,'12-16,'17,'18-19,','20,','21+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
111,'04,UL,Base,6,Angels,Ramon Ortiz,40,,Starter,,R,NA,NA,NA,NA,2,16,24,6,'1-3,'4-6,'7-12,'13-16,'17,'18-19,','20-23,','24+,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
112,'04,UL,TD,6,Pirates,Carlos Rivera,20,R,1B+0,,L,9,7,20,13,NA,NA,NA,NA,','1-2,'3-5,'6-7,'8-11,'12-17,','18-19,','20+,NA,0,NA,NA,NA,NA,NA,1,,,,,,,,,
