"ID","Year","Edition","Expansion","Number","Team","Name","Points","Icons","Position1","Position2","Hand","OnBase","Out_H","HR_H","Speed","Control","Out_P","HR_P","IP","PU","SO","GB","FB","BB","Single","SinglePlus","Double","Triple","HR","Def_C","Def_1B","Def_2B","Def_SS","Def_3B","Def_LFRF","Def_CF","Icon_R","Icon_RY","Icon_G","Icon_S","Icon_SB","Icon_HR","Icon_V","Icon_20","Icon_CY","Icon_K","PU_n","SO_n","GB_n","FB_n","BB_n","Single_n","SinglePlus_n","Double_n","Triple_n","HR_n","WHIP_all","WHIP_350","oOBP_all","oOBP_350","oSLG_all","oSLG_350","oOPS_all","oOPS_350","BA_all","BA_350","OBP_all","OBP_350","SLG_all","SLG_350","OPS_all","OPS_350","Role","OPS_z"
11,"'03","UL","TD","1","Cardinals","So Taguchi","10","R","LF-RF+1","","R",9,10,23,11,NA,NA,NA,NA,"'","'1-2","'3-7","'8-10","'11-13","'14-18","'","'19-22","'","'23+",NA,NA,NA,NA,NA,1,NA,"1","","","","","","","","","",0,2,5,3,3,5,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.215415998583776,0.213506891541324,0.275432626538988,0.270265748031496,0.279106738028449,0.272540301596879,0.554539364567436,0.542806049628375,"Batter",-1.91242141942102
12,"'03","UL","PR","1","Marlins","Josh Beckett","80","","Starter","","R",NA,NA,NA,NA,2,16,22,5,"'","'1-6","'7-12","'13-16","'17","'18-19","'","'20-21","'","'22+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",0,6,6,4,1,2,0,1,0,0,1.95876187145384,2.15661968413177,0.395010271158587,0.421106693174288,0.556308499189751,0.624492229168219,0.951318770348338,1.04559892234251,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-0.987130191943067
13,"'04","UL","Base","1","Angels","Garrett Anderson","530","S","LF-RF+2","","L",11,6,19,11,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'7-8","'9-15","'","'16-18","'","'19+",NA,NA,NA,NA,NA,2,NA,"","","","1","","","","","","",0,1,3,2,2,7,0,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.339328367284826,0.335210223032783,0.382481190150479,0.375964566929134,0.555317883045171,0.543810857633218,0.93779907319565,0.919775424562352,"Batter",0.859480186957899
14,"'04","UL","TD","1","Pirates","Jose Mesa","10","","Closer","","R",NA,NA,NA,NA,1,16,26,1,"'1-3","'4-8","'9-14","'15-16","'17","'18-19","'","'20-25","'","'26+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,5,6,2,1,2,0,1,0,0,2.18530616882425,2.40291439558868,0.421442070665571,0.4475563286945,0.603556319459719,0.674668334382437,1.02499839012529,1.12222466307694,NA,NA,NA,NA,NA,NA,NA,NA,"Reliever",-1.76080178696191
15,"'04","P","Base","1","Reds","Barry Larkin","10","","SS+2","","R",10,7,21,9,NA,NA,NA,NA,"'","'1","'2-5","'6-7","'8-10","'11-18","'","'19-20","'","'21+",NA,NA,NA,2,NA,NA,NA,"","","","","","","","","","",0,1,4,2,3,8,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.287115416753137,0.283676142588891,0.340395006839945,0.334119094488189,0.354545167756305,0.346742817533838,0.69494017459625,0.680861912022027,"Batter",-0.896981439443113
16,"'04","UL","PR","1","Rockies","Shawn Chacon","10","","Closer","","R",NA,NA,NA,NA,1,16,23,1,"'1-4","'5-10","'11-14","'15-16","'","'17","'","'18-22","'","'23+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",4,6,4,2,0,1,0,3,0,0,2.18530616882425,2.40291439558868,0.421442070665571,0.4475563286945,0.68382818080989,0.749122668747762,1.10527025147546,1.19667899744226,NA,NA,NA,NA,NA,NA,NA,NA,"Reliever",-2.35645859914023
17,"'05","UL","Base","1","Angels","Garret Anderson","210","","CF+1","","L",11,7,20,12,NA,NA,NA,NA,"'","'1-2","'3-5","'6-7","'8-9","'10-17","'","'18-19","'","'20+",NA,NA,NA,NA,NA,NA,1,"","","","","","","","","","",0,2,3,2,2,8,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.31828603562348,0.314650293024034,0.363543091655267,0.35746062992126,0.450106224738437,0.441011207589473,0.813649316393704,0.798471837510733,"Batter",-0.0384250782279435
18,"'05","P","Base","1","Angels","Scot Shields","240","","Reliever","","R",NA,NA,NA,NA,4,16,27,2,"'1","'2-6","'7-13","'14-16","'17","'18-19","'","'20-26","'","'27+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",1,5,7,3,1,2,0,1,0,0,1.56028703203505,1.72576654713257,0.342146672144618,0.368207422133863,0.461812858649815,0.524140018739784,0.803959530794433,0.892347440873648,NA,NA,NA,NA,NA,NA,NA,NA,"Reliever",-0.120584404407446
19,"'05","UL","TD","1","Angels","Steve Finley","320","","CF+0","","L",9,5,19,12,NA,NA,NA,NA,"'","'1","'2-3","'4-5","'6-9","'10-16","'","'17-18","'","'19+",NA,NA,NA,NA,NA,NA,0,"","","","","","","","","","",0,1,2,2,4,7,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.292280512344137,0.287977132393571,0.345123119015048,0.337785433070866,0.462556710869842,0.450275943097573,0.80767982988489,0.78806137616844,"Batter",-0.0815990119092679
20,"'00","1st","Base","2","Angels","Tim Belcher","110","","Starter","","R",NA,NA,NA,NA,0,18,NA,6,"'3-5","'1-2","'6-12","'13-18","'","'19","'","'20","'","'",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,2,7,6,0,1,0,1,0,0,1.96130562104648,2.19824686576292,0.395320460147905,0.425828363154407,0.61899549682003,0.6955603838691,1.01431595696793,1.12138874702351,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-1.55823016022026
21,"'00","1st","PR","2","Angels","Ken Hill","170","","Starter","","R",NA,NA,NA,NA,0,18,NA,6,"'5-6","'1-4","'7-13","'14-18","'19","'20","'","'","'","'",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",2,4,7,5,1,1,0,0,0,0,1.96130562104648,2.19824686576292,0.395320460147905,0.425828363154407,0.567825071269712,0.648451250742165,0.963145531417617,1.07427961389657,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-1.09434550160875
22,"'01","1st","Base","2","Angels","Darin Erstad","510","","LF-RF+2","","L",10,4,1920,20,NA,NA,NA,NA,"'","'","'1-3","'4","'5-6","'7-15","'16","'17-18","'","'19-20",NA,NA,NA,NA,NA,2,NA,"","","","","","","","","","",0,0,3,1,2,9,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.349429777061784,0.344344661965145,0.389709302325581,0.382130905511811,0.533430357263024,0.520903308501878,0.923139659588606,0.903034214013689,"Batter",0.753456905065368
23,"'01","1st","PR","2","Cardinals","Dustin Hermanson","190","","Starter","","R",NA,NA,NA,NA,1,17,NA,6,"'1-3","'4-5","'6-12","'13-17","'18","'19","'","'20","'","'",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,2,7,5,1,1,0,1,0,0,1.93961620223879,2.15510810564939,0.392665365653246,0.420967528164347,0.573265051025692,0.646572359150239,0.965930416678938,1.06753988731459,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-1.11959183354418
24,"'01","UL","Base","2","Angels","Darin Erstad","510","","LF-RF+2","","L",10,4,1920,20,NA,NA,NA,NA,"'","'","'1-3","'4","'5-6","'7-15","'16","'17-18","'","'19-20",NA,NA,NA,NA,NA,2,NA,"","","","","","","","","","",0,0,3,1,2,9,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.349429777061784,0.344344661965145,0.389709302325581,0.382130905511811,0.533430357263024,0.520903308501878,0.923139659588606,0.903034214013689,"Batter",0.753456905065368
25,"'02","UL","Base","2","Angels","David Eckstein","160","","SS+3","","R",11,7,26,18,NA,NA,NA,NA,"'","'","'1-6","'7","'8-11","'12-18","'19","'20-25","'","'26+",NA,NA,NA,3,NA,NA,NA,"","","","","","","","","","",0,0,6,1,4,7,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.299873995419801,0.296660354266378,0.363543091655267,0.35746062992126,0.361991460906548,0.354916500677837,0.725534552561815,0.712377130599097,"Batter",-0.675709535510268
26,"'02","UL","TD","2","Orioles","Chris Singleton","190","","OF+2","","L",10,7,22,19,NA,NA,NA,NA,"'","'1","'2-4","'5-7","'8","'9-16","'17","'18-19","'20-21","'22+",NA,NA,NA,NA,NA,2,2,"","","","","","","","","","",0,1,3,3,1,8,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0.301365161578707,0.297549524515221,0.340395006839945,0.334119094488189,0.407981710852196,0.398767999757577,0.748376717692141,0.732887094245766,"Batter",-0.510505020679977
27,"'02","UL","PR","2","Giants","Robb Nen","250","","Closer","","R",NA,NA,NA,NA,4,18,26,1,"'1-3","'4-10","'11-15","'16-18","'","'19-25","'","'","'","'26+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,7,5,3,0,2,0,0,0,0,1.10730055517744,1.26621160409556,0.269593262119967,0.300029821073559,0.381622247569938,0.448559523383747,0.651215509689905,0.748589344457306,NA,NA,NA,NA,NA,NA,NA,NA,"Reliever",1.01285158623846
28,"'02","ASG","ASG","2","Orioles","Tony Batista","310","","3B+1","","R",10,6,18,17,NA,NA,NA,NA,"'","'1-3","'4","'5-6","'7-8","'9-14","'","'15-17","'","'18+",NA,NA,NA,NA,1,NA,NA,"","","","","","","","","","",0,3,1,2,2,6,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0.312900669294646,0.308780357503203,0.356833105335157,0.350123031496063,0.560827188088378,0.547576536848335,0.917660293423535,0.897699568344398,"Batter",0.713827735776322
29,"'03","UL","Base","2","Angels","David Eckstein","280","","SS+1","","R",11,6,20,16,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'7-9","'10-17","'18","'19","'","'20+",NA,NA,NA,1,NA,NA,NA,"","","","","","","","","","",0,1,3,2,3,8,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.331901661992586,0.327953777147342,0.382481190150479,0.375964566929134,0.458770714246051,0.449477061122487,0.84125190439653,0.825441628051621,"Batter",0.16120889399184
30,"'03","P","Base","2","Pirates","Abraham Nunez","90","","SS+5","","S",9,7,22,16,NA,NA,NA,NA,"'","'1","'2-5","'6-7","'8-11","'12-18","'","'19-21","'","'22+",NA,NA,NA,5,NA,NA,NA,"","","","","","","","","","",0,1,4,2,4,7,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.257435266106106,0.254217289873886,0.317246922024624,0.310777559055118,0.323175725917722,0.315236573018833,0.640422647942346,0.626014132073951,"Batter",-1.2912760034312
31,"'03","UL","TD","2","Rangers","Ryan Drese","10","R","Starter","","R",NA,NA,NA,NA,1,16,24,5,"'1-2","'3-6","'7-12","'13-16","'17","'18-19","'","'20-23","'","'24+",NA,NA,NA,NA,NA,NA,NA,"1","","","","","","","","","",2,4,6,4,1,2,0,1,0,0,2.18530616882425,2.40291439558868,0.421442070665571,0.4475563286945,0.603556319459719,0.674668334382437,1.02499839012529,1.12222466307694,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-1.65507158385601
32,"'03","UL","PR","2","Tigers","Jeremy Bonderman","10","R","Starter","","R",NA,NA,NA,NA,1,16,23,5,"'1","'2-6","'7-13","'14-16","'17","'18-19","'","'20-22","'","'23+",NA,NA,NA,NA,NA,NA,NA,"1","","","","","","","","","",1,5,7,3,1,2,0,1,0,0,2.18530616882425,2.40291439558868,0.421442070665571,0.4475563286945,0.603556319459719,0.674668334382437,1.02499839012529,1.12222466307694,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-1.65507158385601
33,"'04","UL","Base","2","Angels","David Eckstein","40","","SS+2","","R",9,6,21,15,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'7-9","'10-17","'18","'19-20","'","'21+",NA,NA,NA,2,NA,NA,NA,"","","","","","","","","","",0,1,3,2,3,8,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.28100705032595,0.277054830401908,0.331185020519836,0.324281496062992,0.352896671238395,0.344031732815035,0.684081691758231,0.668313228878027,"Batter",-0.975514729908932
34,"'04","UL","TD","2","Red Sox","Pokey Reese","10","","2B+5","","R",9,8,21,14,NA,NA,NA,NA,"'","'1-3","'4-5","'6-8","'9-12","'13-19","'","'20","'","'21+",NA,NA,5,NA,NA,NA,NA,"","","","","","","","","","",0,3,2,3,4,7,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.240012642987091,0.237337368614043,0.303308823529412,0.297273622047244,0.288330479679692,0.281476730499148,0.591639303209104,0.578750352546392,"Batter",-1.64409845929176
35,"'04","P","Base","2","Athletics","Barry Zito","530","","Starter","","L",NA,NA,NA,NA,4,17,26,7,"'1-2","'3-6","'7-12","'13-17","'18","'19-22","'","'23-25","'","'26+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",2,4,6,5,1,2,0,0,0,0,1.32195677747279,1.48424578942509,0.305869967132293,0.334118621603711,0.385440848097551,0.452158594591177,0.691310815229844,0.786277216194889,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",1.36996768635803
36,"'04","UL","PR","2","Athletics","Bobby Crosby","10","R","SS+3","","R",9,9,19,13,NA,NA,NA,NA,"'","'1-4","'5-6","'7-9","'10-12","'13-17","'","'18","'","'19+",NA,NA,NA,3,NA,NA,NA,"1","","","","","","","","","",0,4,2,3,3,5,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.23181376151932,0.22939387625647,0.2893707250342,0.28376968503937,0.37749331564171,0.367862209887754,0.66686404067591,0.651631894927124,"Batter",-1.1000403025656
37,"'05","UL","Base","2","Angels","David Eckstein","90","","SS+1","","R",10,6,21,15,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'7-9","'10-17","'18","'19-20","'","'21+",NA,NA,NA,1,NA,NA,NA,"","","","","","","","","","",0,1,3,2,3,8,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.306454356159268,0.302504303774625,0.356833105335157,0.350123031496063,0.383553576865503,0.374985059312439,0.74038668220066,0.725108090808502,"Batter",-0.568292447104559
38,"'05","P","Base","2","Braves","Mark Derosa","10","","3B+0","","R",9,6,21,9,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'7-9","'10-17","'","'18-20","'","'21+",NA,NA,NA,NA,0,NA,NA,"","","","","","","","","","",0,1,3,2,3,8,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.28100705032595,0.277054830401908,0.331185020519836,0.324281496062992,0.361095552706167,0.351975225172608,0.692280573226002,0.6762567212356,"Batter",-0.91621683816766
39,"'05","UL","TD","2","Devil Rays","Josh Phelps","110","","1B+0","","R",9,7,19,10,NA,NA,NA,NA,"'","'1-2","'3-5","'6-7","'8-10","'11-16","'","'17-18","'","'19+",NA,0,NA,NA,NA,NA,NA,"","","","","","","","","","",0,2,3,2,3,6,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0.264609287390407,0.261167845686762,0.317246922024624,0.310777559055118,0.426686604448341,0.415523164033192,0.743933526472965,0.72630072308831,"Batter",-0.542640120197652
40,"'00","1st","Base","3","Angels","Gary DiSarcina","40","","SS+4","","R",5,2,NA,15,NA,NA,NA,NA,"'","'","'1","'2","'3","'4-20","'","'","'","'",NA,NA,NA,4,NA,NA,NA,"","","","","","","","","","",0,0,1,1,1,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.200974631761769,0.194688427285889,0.246450068399453,0.236889763779528,0.240319806559195,0.229238830331483,0.486769874958647,0.466128594111011,"Batter",-2.40255996746314
41,"'00","1st","PR","3","Angels","Adam Kennedy","260","","2B+2","","L",7,4,1920,20,NA,NA,NA,NA,"'","'","'1","'2-4","'5","'6-12","'13","'14-17","'18","'19-20",NA,NA,2,NA,NA,NA,NA,"","","","","","","","","","",0,0,1,3,1,7,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.255570799698308,0.250377623740821,0.297765047879617,0.289606299212598,0.408359255184782,0.393229148467993,0.706124303064399,0.682835447680592,"Batter",-0.816092937550306
42,"'01","1st","Base","3","Angels","Ron Gant","270","","LF-RF+1","","R",8,5,1720,15,NA,NA,NA,NA,"'","'1-3","'4","'5","'6-11","'12-15","'","'16","'","'17-20",NA,NA,NA,NA,NA,1,NA,"","","","","","","","","","",0,3,1,1,6,4,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0.254598559745136,0.250680656440294,0.316975034199726,0.309443897637795,0.500058943898197,0.484148015263572,0.817033978097923,0.793591912901367,"Batter",-0.0139457264887427
43,"'01","1st","PR","3","Mariners","Jamie Moyer","320","","Starter","","L",NA,NA,NA,NA,2,17,NA,6,"'1-3","'4-7","'8-14","'15-17","'","'18-19","'","'20","'","'",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,4,7,3,0,2,0,1,0,0,1.7150059163574,1.91024363473564,0.363733566146261,0.392017892644135,0.549723929713472,0.618346718332306,0.913457495859733,1.01036461097644,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-0.643899425306739
44,"'02","UL","Base","3","Angels","Darin Erstad","160","","CF+3","LF-RF+2","L",10,7,24,16,NA,NA,NA,NA,"'","'1-2","'3-6","'7","'8-11","'12-17","'18","'19-23","'","'24+",NA,NA,NA,NA,NA,2,3,"","","","","","","","","","",0,2,4,1,4,6,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.278654630762954,0.275438822070132,0.340395006839945,0.334119094488189,0.358775560751396,0.350861477793217,0.699170567591342,0.684980572281406,"Batter",-0.866385389624365
45,"'02","UL","TD","3","Mariners","Ben Davis","130","","C+6","","S",10,6,20,11,NA,NA,NA,NA,"'","'1-3","'4-5","'6","'7-12","'13-18","'","'19","'","'20+",6,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",0,3,2,1,6,6,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.281590005494242,0.278296667964395,0.356833105335157,0.350123031496063,0.404273869086358,0.395158089154297,0.761106974421516,0.74528112065036,"Batter",-0.41843424391069
46,"'02","UL","PR","3","Blue Jays","Raul Mondesi","240","","LF-RF+1","","R",10,6,18,19,NA,NA,NA,NA,"'","'1-3","'4","'5-6","'7-12","'13-16","'","'17","'","'18+",NA,NA,NA,NA,NA,1,NA,"","","","","","","","","","",0,3,1,2,6,4,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0.281590005494242,0.278296667964395,0.356833105335157,0.350123031496063,0.545171856188176,0.532334692078931,0.902004961523333,0.882457723574994,"Batter",0.600601537807621
47,"'02","ASG","ASG","3","White Sox","Mark Buehrle","510","","Starter","","L",NA,NA,NA,NA,3,18,24,7,"'1-4","'5-8","'9-15","'16-18","'19","'20-23","'","'","'","'24+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",4,4,7,3,1,1,0,0,0,0,1.29199937694887,1.46641648895876,0.301025061626952,0.331479456593771,0.402397399933492,0.474238724573197,0.703422461560444,0.805718181166968,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",1.26016975400022
48,"'03","UL","Base","3","Angels","Darin Erstad","280","G","CF+3","","L",10,6,20,16,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'7-8","'9-16","'17","'18-19","'","'20+",NA,NA,NA,NA,NA,NA,3,"","","1","","","","","","","",0,1,3,2,2,8,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.312900669294646,0.308780357503203,0.356833105335157,0.350123031496063,0.44210758784518,0.431992547347023,0.798940693180337,0.782115578843086,"Batter",-0.144804265486329
49,"'03","P","Base","3","Angels","Al Levine","20","","Reliever","","R",NA,NA,NA,NA,2,15,20,1,"'1-4","'","'5-13","'14-15","'16-17","'18","'","'19","'","'20+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",4,0,9,2,2,1,0,1,0,1,2.22909516673917,2.42902612851889,0.426286976170912,0.45019549370444,0.667880370871146,0.728624496110084,1.09416734704206,1.17881998981452,NA,NA,NA,NA,NA,NA,NA,NA,"Reliever",-2.27406957078731
50,"'03","UL","TD","3","Braves","Mike Hampton","10","","Starter","","L",NA,NA,NA,NA,1,15,23,6,"'1-3","'4-5","'6-13","'14-15","'16","'17-19","'","'20-22","'","'23+",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",3,2,8,2,1,3,0,1,0,0,2.45671599407399,2.67574786324786,0.450218775677896,0.474145129224652,0.633847587893746,0.702764309614635,1.08406636357164,1.17690943883929,NA,NA,NA,NA,NA,NA,NA,NA,"Starter",-2.19055133416785
51,"'03","UL","PR","3","Royals","Carlos Febles","150","","2B+2","","R",9,5,23,20,NA,NA,NA,NA,"'","'1","'2-4","'5","'6-7","'8-15","'16-18","'19-20","'21-22","'23+",NA,NA,2,NA,NA,NA,NA,"","","","","","","","","","",0,1,3,1,2,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.301959747410256,0.297354866426817,0.345123119015048,0.337785433070866,0.387058677354111,0.377129617638256,0.732181796369158,0.714915050709122,"Batter",-0.627633765026807
52,"'04","UL","Base","3","Angels","Darin Erstad","60","","CF+3","","L",9,6,20,12,NA,NA,NA,NA,"'","'1","'2-4","'5-6","'7-9","'10-18","'","'19","'","'20+",NA,NA,NA,NA,NA,NA,3,"","","","","","","","","","",0,1,3,2,3,9,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.28100705032595,0.277054830401908,0.331185020519836,0.324281496062992,0.37749331564171,0.367862209887754,0.708678336161546,0.692143705950746,"Batter",-0.797621054685117
